x,theta,dx,dtheta,t
0,0.7,0,0,0
6.23E-05,0.699185686674168,0.0122508092882867,-0.16007534302349,0.01
0.000240959181065027,0.696853253077842,0.0232765679882109,-0.303607218669342,0.02
0.000523998066399632,0.693166625372435,0.0331398630307606,-0.431074619874746,0.03
0.000900074172565504,0.688283544040756,0.0419019986187447,-0.543096450809257,0.04
0.00135852096183556,0.682354322124868,0.0496228872480406,-0.640411588541602,0.05
0.0018891884227412,0.675522851427183,0.0563629331117062,-0.723864027989565,0.06
0.00248257897272611,0.667922555303176,0.0621774356384062,-0.794345884510183,0.07
0.00312975672192643,0.659677679266631,0.0671210338720679,-0.852766038690761,0.08
0.00382230266421271,0.650903948031608,0.0712490682970445,-0.900048482652827,0.09
0.00455231467718994,0.64170856551244,0.0746175808381157,-0.937132320052126,0.1
0.00531236840479187,0.632190793571489,0.0772838443189229,-0.964975779332309,0.11
0.0060948054812775,0.622451982003729,0.0793132086445158,-0.98458637456413,0.12
0.00689375806292474,0.612565023561773,0.0807462120225259,-0.996718824378841,0.13
0.00770417934975951,0.602590104005543,0.0816166498077452,-1.00203741417666,0.14
0.00852119794489426,0.592584488417742,0.081961343442614,-1.00119683132169,0.15
0.00934011785452798,0.58260252120385,0.081820140457221,-0.99484216514193,0.16
0.0101564184879462,0.572695626092129,0.0812359144693026,-0.983608906929271,0.17
0.0109657546575209,0.562912306133619,0.0802545651842437,-0.968122949939492,0.18
0.0117639565787109,0.553298143702141,0.0789250183950771,-0.949000589392262,0.19
0.012547029870061,0.543895800494292,0.077299225982484,-0.926848522471142,0.2
0.0133112809215347,0.534743615610337,0.0754294845475458,-0.902246095340715,0.21
0.0140550696020111,0.525855823972293,0.0733315425504307,-0.875493961089884,0.22
0.0147767743895285,0.51724560131858,0.0710269495550528,-0.846893629937732,0.23
0.0154746082727674,0.508928003616725,0.0685438707120613,-0.816773644619427,0.24
0.0161469798190211,0.500916012134105,0.0659090767551404,-0.785438801614274,0.25
0.016792493174195,0.493220533437949,0.0631479440010102,-0.753170151145711,0.26
0.0174099480628074,0.485850399395341,0.060284454349426,-0.720224997181318,0.27
0.017998339787989,0.478812367173213,0.0573411952831788,-0.686836897432805,0.28
0.0185568578179013,0.472111135495683,0.0543393541079218,-0.653215726077965,0.29
0.019084860142358,0.465749709305075,0.0512977674388598,-0.619549031228547,0.3
0.0195821561062019,0.459726344168074,0.0482325563757424,-0.585992489011938,0.31
0.0200487585270049,0.454037291989373,0.0451586947446784,-0.55268411882602,0.32
0.0204847558875835,0.448678236772009,0.0420900509496849,-0.519750251490541,0.33
0.020890312335998,0.443644294617357,0.0390393879726869,-0.487305529247118,0.34
0.0212656676855531,0.438930013725133,0.0360183633735177,-0.45545290575924,0.35
0.0216111374147976,0.434529374393396,0.0330375292899189,-0.424283646112261,0.36
0.0219271126675248,0.430435789018543,0.0301063324375398,-0.393877326813405,0.37
0.0222140602527718,0.426642102095313,0.0272331141099381,-0.364301835791767,0.38
0.0224725226448202,0.423140590216786,0.0244251101785798,-0.335613372398309,0.39
0.0227031179831955,0.419922962074383,0.0216884510928388,-0.307856447405863,0.4
0.0229064124210082,0.41698149932953,0.0190293523395925,-0.281079797180828,0.41
0.0230832135293129,0.414306044083145,0.0164525883552141,-0.255319490017555,0.42
0.0232345549751656,0.411884350255171,0.0139609125336801,-0.230588790539682,0.43
0.0233614485360747,0.409704511251056,0.0115566946777333,-0.206897993568431,0.44
0.0234648840734308,0.407754960214036,0.00924192119979886,-0.184254426667918,0.45
0.0235458295325061,0.406024470025137,0.0070181951219844,-0.16266245014516,0.46
0.0236052309424549,0.404502153303173,0.00488673607607975,-0.142123457050067,0.47
0.0236440124163132,0.403177462404751,0.00284838030355707,-0.122635873175451,0.48
0.0236630761509989,0.402040189424263,0.00090358065557089,-0.104195157057018,0.49
0.0236633024273119,0.401080466193893,-0.000947593407041997,-0.086793799973371,0.5
0.0236455496099339,0.400288764283615,-0.0027054558137624,-0.070421325946013,0.51
0.0236106541474284,0.399655895001191,-0.0043707038843888,-0.0550642917393428,0.52
0.0235594305722411,0.399173009392171,-0.00594441832903738,-0.0407062868606564,0.53
0.0234926715006991,0.398831598239898,-0.00742806324814203,-0.0273279335601466,0.54
0.0234113138510538,0.398621501035871,-0.00882332275422598,-0.0149061204448438,0.55
0.0233164021621976,0.398531324692579,-0.0101323392697423,-0.00341196303402871,0.56
0.0232088188368658,0.398551610720383,-0.0113576046105234,0.00718464117369576,0.57
0.023089411309144,0.398673296682516,-0.0125016205086735,0.0169135380933183,0.58
0.0229589922132659,0.398887714169791,-0.0135668983512049,0.0258043168886449,0.59
0.0228183393836123,0.399186588800595,-0.0145559591800381,0.0338863099722986,0.6
0.0226681958547121,0.39956204022089,-0.0154713336920015,0.0411885930057195,0.61
0.0225092698612412,0.400006582104216,-0.0163155622388318,0.0477399848991648,0.62
0.0223422348380237,0.400513122151689,-0.0170911948271736,0.0535690478117089,0.63
0.022167732716059,0.401074924667148,-0.0178007981512019,0.0587042032904943,0.64
0.0219864236578098,0.401685050987114,-0.0184472014655919,0.0631768870290253,0.65
0.0217989431293534,0.402336845020493,-0.0190334974561715,0.0670210419397973,0.66
0.0216058878526338,0.403024075378611,-0.0195626978381847,0.070269553394819,0.67
0.0214078230369089,0.403740851528474,-0.0200377125530626,0.0729541463903473,0.68
0.0212052823787499,0.404481623792765,-0.0204613497684233,0.0751053855468873,0.69
0.0209987680620416,0.405241183349842,-0.0208363158780723,0.0767526751091926,0.7
0.0207887507579826,0.406014662233743,-0.021165215502002,0.077924258946265,0.71
0.0205756696250851,0.406797533334182,-0.0214505514863922,0.0786472205513548,0.72
0.0203599323091746,0.40758561039655,-0.0216947249036097,0.0789474830419602,0.73
0.020141928623717,0.4083748992673,-0.0219000871785616,0.0788504248223033,0.74
0.019922051583907,0.409161372969948,-0.0220692076349507,0.0783838238138242,0.75
0.0197006489865539,0.409941497475963,-0.0222046435132448,0.0775752166784397,0.76
0.0194780458311791,0.410711983984905,-0.0223088260889305,0.0764507969383458,0.77
0.0192545457977589,0.411469772764236,-0.022384061682133,0.0750354324331556,0.78
0.0190304312467244,0.412212033149318,-0.0224325316576165,0.0733526653198995,0.79
0.0188059632189617,0.412936163543416,-0.0224562924247839,0.071424712073025,0.8
0.0185813814358118,0.413639791417697,-0.0224572754376769,0.069272463484397,0.81
0.0183569042990705,0.41432077331123,-0.0224372871949759,0.0669154846632973,0.82
0.0181327288909885,0.414977194830983,-0.0223980092400002,0.0643720150364251,0.83
0.0179090309742715,0.415607370651829,-0.022340998160708,0.0616589683478969,0.84
0.0176859856216128,0.416209622484959,-0.0222678189250314,0.0587933538984661,0.85
0.0174637660562489,0.416782301242615,-0.022180219136506,0.0557940837009827,0.86
0.0172424927170294,0.417324333551319,-0.0220797365527563,0.0526777955873321,0.87
0.0170222759450496,0.417834754644188,-0.0219678147740967,0.0494601251045363,0.88
0.0168032170836888,0.418312696421533,-0.0218458083425507,0.0461557603750084,0.89
0.0165854084786098,0.418757387450859,-0.0217149827418497,0.0427784420965531,0.9
0.0163689334777597,0.419168152966868,-0.021576514397434,0.0393409635423667,0.91
0.0161538664313692,0.419544414871453,-0.0214314906764523,0.0358551705610366,0.92
0.015940272691953,0.419885691733706,-0.0212809098877617,0.032331961576542,0.93
0.0157282086143096,0.42019159878991,-0.0211256812819279,0.0287812875882534,0.94
0.0155177215555214,0.420461847943546,-0.0209666250512251,0.0252121521709329,0.95
0.0153088498749547,0.420696247765285,-0.0208044723296358,0.0216326114747339,0.96
0.0151016236049971,0.420894696302117,-0.0206398716916543,0.0180498426044871,0.97
0.0148960873302159,0.421056940674599,-0.0204736908175439,0.0144732804872847,0.98
