x,theta,dx,dtheta,t
0,0.7,0,0,0
6.23E-05,0.699185708904257,0.0122508488368565,-0.160757267078535,0.01
0.000240936004689414,0.696853897790411,0.0232773194872828,-0.308409455953936,0.02
0.000523979138799713,0.693168149937002,0.0331429914812982,-0.445465467875514,0.03
0.000900134879868486,0.688286627142044,0.0419104216448165,-0.573627573249577,0.04
0.0013587223088627,0.682360681649286,0.0496403284939192,-0.694101318180482,0.05
0.00188968559087682,0.675533288775177,0.0563932000944078,-0.8077924485872,0.06
0.00248356671744496,0.667938451455746,0.0622291849728972,-0.915409944669899,0.07
0.00313146962211314,0.659701142125154,0.0672063094841579,-1.01749286100213,0.08
0.00382506010370684,0.650936890523314,0.0713804736333981,-1.11442639811772,0.09
0.0045565658263309,0.641751590860935,0.0748054510762636,-1.20641172994765,0.1
0.0053187763193696,0.632241484956326,0.0775328891188378,-1.29333151249552,0.11
0.00610499333042966,0.622493883470583,0.0796126291845353,-1.37428786274976,0.12
0.00690893045940766,0.61258850276499,0.0810942741223862,-1.44572980159703,0.13
0.00772491943321469,0.602595234561661,0.0820254382519203,-1.49137356570655,0.14
0.00854771235434444,0.592576954725941,0.0824515208688977,-1.47550105334841,0.15
0.00937246334556137,0.58259001932806,0.0824157647332589,-1.42041059439416,0.16
0.0101947285499007,0.572684538545879,0.0819592560691245,-1.35695677424431,0.17
0.0110104661306683,0.562904647468405,0.0811209245647956,-1.29264261649766,0.18
0.0118160210922381,0.553288946600251,0.0799375851956121,-1.22930684011953,0.19
0.0126079819584923,0.543872400169143,0.0784448256385159,-1.1675376999109,0.2
0.0133835532253592,0.534682092989003,0.076676531473278,-1.10753056113708,0.21
0.0141402752647307,0.525740855075855,0.0746646216584432,-1.04933467042911,0.22
0.0148759207836397,0.517068636571242,0.0724391879174838,-0.992942134631987,0.23
0.0155884948242601,0.508682620104145,0.0700284947387994,-0.938319506934203,0.24
0.016276234763907,0.500597319890916,0.0674589793757168,-0.885421589591274,0.25
0.0169376103150368,0.492824668142542,0.0647552518464902,-0.834197830268909,0.26
0.0175713235252466,0.485374089487802,0.061940094934301,-0.784595319667383,0.27
0.0181763023795001,0.478252636252107,0.0590344943724509,-0.736560599098255,0.28
0.0187514528444293,0.471467790395063,0.0560592825974213,-0.690065092278952,0.29
0.0192962888659161,0.465020352560291,0.0530330843514133,-0.645068044389256,0.3
0.0198106596082603,0.458907670778651,0.0499724087208875,-0.601521950616735,0.31
0.0202944813839189,0.45312667897621,0.0468926510249972,-0.559387521761262,0.32
0.0207477376535058,0.447673887328878,0.0438080928155888,-0.518631633013855,0.33
0.0211704790257919,0.442545372409616,0.0407319018772016,-0.479225740455157,0.34
0.021562823257705,0.437736767173813,0.0376761322270674,-0.441144604019661,0.35
0.0219249552543299,0.433243250821653,0.0346517241151115,-0.404365213750994,0.36
0.0222571270689083,0.429059538570042,0.0316685040239515,-0.368865851624994,0.37
0.0225596579028388,0.42517987136106,0.0287351846688981,-0.334625243595607,0.38
0.022832934105677,0.421598005528889,0.0258593649979551,-0.301621771113506,0.39
0.0230773663201857,0.418307650555502,0.0230480453841795,-0.269838614613573,0.4
0.0232934188191339,0.415302014547055,0.0203093130530104,-0.239281497762509,0.41
0.023482113166816,0.4125684795649,0.0176472197385888,-0.209919498356702,0.42
0.0236445060371846,0.410094270766325,0.015064879170726,-0.181721058931325,0.43
0.0237816184641754,0.407867191084974,0.0125650744841308,-0.1546598378525,0.44
0.0238944358417074,0.405875601535907,0.010150258218409,-0.128713682629992,0.45
0.0239839079236823,0.404108403838907,0.0078225523180641,-0.103863754847699,0.46
0.0240509488239853,0.402555025086657,0.00558374813249658,-0.0800937720045908,0.47
0.0240964370164845,0.401205404220475,0.00343530641600441,-0.057389340373728,0.48
0.0241212153350313,0.400049980107187,0.00137835732778277,-0.0357373595091407,0.49
0.02412609097346,0.399079681037282,-0.000586299568075793,-0.0151254839351746,0.5
0.0241118354855882,0.398285915487387,-0.00245819530258148,0.00445836870480112,0.51
0.0240791847852166,0.397660564009844,-0.00423719150184713,0.0230264708745369,0.52
0.0240288391461288,0.39719597212936,-0.00592348038708833,0.0405917053332855,0.53
0.0239615820754384,0.396883627750913,-0.00751772269614193,0.0571694766748751,0.54
0.023878676205209,0.396709796191468,-0.00902186686584258,0.0727869644048605,0.55
0.0237811245322054,0.396663689475917,-0.0104382016660339,0.0874730110537795,0.56
0.0236698511830289,0.396735420091921,-0.0117689987764208,0.101254696798465,0.57
0.0235457408373293,0.396915557539972,-0.013016533181201,0.114157861561592,0.58
0.0234096387278051,0.397195123934209,-0.0141830831690649,0.126207355054319,0.59
0.0232623506402036,0.397565590278591,-0.0152709303331955,0.137427253604018,0.6
0.0231046429133206,0.398018873347427,-0.0162823595712686,0.14784104793009,0.61
0.0229372424390009,0.398547333106493,-0.0172196590854529,0.157471805294178,0.62
0.0227608366621378,0.399143770617109,-0.0180851203824095,0.166342308880066,0.63
0.0225760735806733,0.399801426371005,-0.0188810382732924,0.174475176817225,0.64
0.02238357784501,0.400513801471283,-0.0196097455699657,0.181893337923031,0.65
0.0221840604566011,0.401273462959478,-0.0202741001154972,0.188625426470449,0.66
0.0219781828511981,0.402073545592463,-0.0208772667314834,0.194703532104174,0.67
0.0217665617581991,0.402907669536747,-0.0214223026086807,0.20015870705598,0.68
0.0215497811213831,0.403769806429428,-0.0219121516520059,0.205020929265207,0.69
0.0213283920989095,0.404654279171716,-0.0223496444805365,0.209319121308158,0.7
0.0211029130633182,0.405555761927304,-0.0227374984275107,0.213081161201986,0.71
