e1,e2,ed1,ed2,t,pe1,pe2,ped1,ped2
1.50E-05,0.025348458,1.56E-05,0.183234993,0.4,0.018317622,1.436779305,0.177334865,0.177210511
3.32E-05,0.021233466,1.55E-05,0.182457517,0.41,0.044279623,1.239644789,0.194063872,0.193811559
5.52E-05,0.016673362,1.57E-05,0.184526149,0.42,0.080399239,1.012368859,0.215786117,0.215402504
7.05E-05,0.013082248,1.56E-05,0.183281205,0.43,0.112376754,0.833220391,0.235696624,0.235248663
7.74E-05,0.010731839,1.51E-05,0.177862509,0.44,0.135008533,0.722283609,0.251601407,0.251152728
7.89E-05,0.009170257,1.44E-05,0.169904301,0.45,0.150904684,0.656127166,0.264478783,0.26406145
8.21E-05,0.007426197,1.38E-05,0.163115499,0.46,0.172118807,0.567407964,0.279524353,0.279128857
8.74E-05,0.005371809,1.33E-05,0.157432419,0.47,0.201163731,0.439894141,0.297109699,0.296726158
9.06E-05,0.003696876,1.28E-05,0.151083583,0.48,0.228863175,0.325623264,0.314103685,0.313742095
9.01E-05,0.002651606,1.22E-05,0.143643966,0.49,0.250134556,0.252064757,0.329081063,0.328753982
8.65E-05,0.002130841,1.15E-05,0.135320478,0.5,0.2643327,0.219269203,0.341713442,0.341427697
8.25E-05,0.001737328,1.08E-05,0.127041121,0.51,0.277161167,0.193974838,0.353704121,0.353456669
8.06E-05,0.00102317,1.01E-05,0.119733962,0.52,0.297947949,0.124141126,0.367628507,0.367408973
7.88E-05,0.000284914,9.53E-06,0.112507432,0.53,0.32092864,0.037624365,0.381032556,0.380837547
7.62E-05,0.000234522,8.93E-06,0.105501212,0.54,0.341839832,0.03376443,0.394191338,0.394020163
7.25E-05,0.00046456,8.36E-06,0.098751044,0.55,0.358149329,0.073041499,0.407128615,0.406980925
6.79E-05,0.000472572,7.81E-06,0.092225452,0.56,0.369668522,0.081265283,0.419611833,0.419486376
6.33E-05,0.000447101,7.28E-06,0.08596649,0.57,0.38011382,0.084186201,0.431712722,0.43160661
5.98E-05,0.000615357,6.77E-06,0.079956797,0.58,0.395958106,0.126941126,0.443248956,0.443158068
5.64E-05,0.00084246,6.24E-06,0.073780072,0.59,0.412258972,0.190521099,0.451565587,0.451487807
5.31E-05,0.001007942,5.76E-06,0.068030105,0.6,0.427961474,0.250089522,0.459743861,0.45967752
4.98E-05,0.001061556,5.33E-06,0.063008502,0.61,0.442606482,0.289236168,0.470192344,0.470135993
4.64E-05,0.00100279,4.97E-06,0.058698116,0.62,0.455649407,0.300300628,0.483708247,0.483660619
4.31E-05,0.000877501,4.64E-06,0.054869126,0.63,0.467097148,0.289044418,0.499335733,0.49929566
4.00E-05,0.000775489,4.33E-06,0.0511781,0.64,0.478539911,0.281100632,0.514381491,0.514347803
3.72E-05,0.00078533,3.99E-06,0.04711497,0.65,0.490715023,0.313272872,0.523058917,0.523030576
3.41E-05,0.000824795,3.60E-06,0.042511634,0.66,0.49674372,0.362159855,0.521384913,0.52136138
3.11E-05,0.000852215,3.23E-06,0.038182575,0.67,0.501007153,0.412037191,0.517375506,0.517356041
