err,err_k,t,t_k,p,q,r
2,2,0,0,0,0,0
1.99999999967866,2,6.40E-06,0.101010101010101,0,5.02E-05,0
1.99999999871468,1.84308180854431,1.28E-05,0.202020202020202,0,0.000100469030641998,0
1.99999999710809,1.68713106991954,1.92E-05,0.303030303030303,0,0.00015069872629209,0
1.99999999485894,1.54074982817211,2.56E-05,0.404040404040404,0,0.000200925209088567,0
1.99999997397614,1.40441712251083,5.76E-05,0.505050505050505,0,0.000452009437099294,0
1.99999993703539,1.27801211444952,8.96E-05,0.606060606060606,0,0.0007030133730488,0
1.99999988404182,1.16125427536051,0.000121532859186304,0.707070707070707,0,0.000953937041328737,0
1.99999981500057,1.05376234757085,0.000153515190551121,0.808080808080808,0,0.00120478046632337,0
1.99999922925869,0.955086579579457,0.000313426847375206,0.909090909090909,0,0.00245779479495174,0
1.9999982430939,0.864733753118664,0.00047333850419929,1.01010101010101,0,0.00370880669484022,0
1.99999685714614,0.782186902418144,0.000633250161023375,1.11111111111111,0,0.00495781920572019,0
1.99999507205439,0.706920628329003,0.000793161817847459,1.21212121212121,0,0.00620483536272708,0
1.99998018173339,0.638412768251917,0.00159272010196788,1.31313131313131,0,0.0124100767563679,0
1.99995540810026,0.576153083544768,0.00239227838608831,1.41414141414141,0,0.0185658619344103,0
1.99992082994043,0.519649532462008,0.00319183667020873,1.51515151515152,0,0.0246725651473781,0
1.99987652544693,0.468432609964106,0.00399139495432915,1.61616161616162,0,0.0307305578395904,0
1.99951180931219,0.422058157605344,0.00798918637493126,1.71717171717172,2.26E-18,0.0603026962125465,0
1.99891532518944,0.380108977815629,0.0119869777955334,1.81818181818182,5.30E-18,0.0887111842086823,0
1.99809619814169,0.342195527169472,0.0159847692161355,1.91919191919192,6.20E-18,0.115999377090375,0
1.99706322630167,0.307955912174104,0.0199825606367376,2.02020202020202,5.60E-18,0.142209080480841,0
1.99377049389218,0.277055367956615,0.0295562460775548,2.12121212121212,2.28E-18,0.200829339487478,0
1.98940803624266,0.249185364125083,0.0391299315183721,2.22222222222222,2.08E-18,0.254009063421032,0
1.98407504347878,0.22406245213613,0.0487036169591893,2.32323232323232,8.83E-18,0.302219667439358,0
1.97786318835278,0.201426943868383,0.0582773024000065,2.42424242424242,1.41E-17,0.345896785641424,0
1.96693161165138,0.181041490987591,0.0728223714234414,2.52525252525253,1.22E-17,0.404470963942183,0
1.95442029865157,0.162689618383324,0.0873674404468763,2.62626262626263,1.05E-17,0.454712826792995,0
1.9405535314367,0.14617425183159,0.101912509470311,2.72727272727273,9.11E-18,0.497686334075248,0
1.92553407448358,0.131316269548072,0.116457578493746,2.82828282828283,7.88E-18,0.534352168346405,0
1.90371196925105,0.117953098976488,0.136121307374468,2.92929292929293,6.47E-18,0.575386046060225,0
1.88045634202922,0.105937373610633,0.15578503625519,3.03030303030303,5.32E-18,0.608072030394739,0
1.85606188955754,0.0951356595450699,0.175448765135913,3.13131313131313,4.37E-18,0.63379676959659,0
1.83079538672095,0.0854272575113844,0.195112494016635,3.23232323232323,3.59E-18,0.653813228135848,0
1.79848008017885,0.0767030831554525,0.219577422622478,3.33333333333333,4.89E-18,0.672330615289121,0
1.7654606393422,0.0688646260577075,0.24404235122832,3.43434343434343,2.69E-18,0.685026490029955,0
1.73198559958354,0.0618229863387152,0.268507279834163,3.53535353535354,-5.71E-18,0.693053400422324,0
1.69828688032892,0.0554979865008733,0.292972208440006,3.63636363636364,-1.09E-17,0.697489955667851,0
1.6591342916436,0.0498173553319607,0.32137122887745,3.73737373737374,-1.28E-17,0.69927864026672,0
1.6200973870347,0.0447159801555689,0.349770249314894,3.83838383838384,-1.14E-17,0.698155873906106,0
1.58131756610084,0.0401352233913044,0.378169269752338,3.93939393939394,-4.53E-19,0.694772741617287,0
1.54293328859141,0.0360222992314723,0.406568290189782,4.04040404040404,7.59E-18,0.689778002099385,0
1.49784775334748,0.0323297062090275,0.440416883333829,4.14141414141414,2.82E-17,0.682420185394721,0
1.4535511136376,0.0290147114908865,0.474265476477876,4.24242424242424,6.59E-17,0.673847986395809,0
1.41010840841959,0.0260388828553566,0.508114069621924,4.34343434343434,9.29E-17,0.664382583320678,0
1.36759184127359,0.0233676644822791,0.541962662765971,4.44444444444445,1.03E-16,0.654397167862936,0
1.31696441013956,0.0209699928838567,0.58332737470234,4.54545454545455,1.01E-16,0.641892540170819,0
1.26779978199327,0.0188179495211187,0.62469208663871,4.64646464646465,7.05E-17,0.629120841463244,0
1.22010391795063,0.0168864468764722,0.666056798575079,4.74747474747475,2.43E-17,0.616200067757654,0
1.17389509432066,0.0151529449800689,0.707421510511448,4.84848484848485,1.66E-17,0.60333124905747,0
1.1177140655683,0.0135971956117971,0.759615663687771,4.94949494949495,1.10E-16,0.587379257142099,0
1.06384329701978,0.0122010116180711,0.811809816864095,5.05050505050505,1.67E-16,0.571682330987904,0
1.01222928976755,0.010948058990778,0.864003970040418,5.15151515151515,1.17E-16,0.556256342042397,0
0.962829471463566,0.00982366955318215,0.916198123216742,5.25252525252525,4.13E-17,0.541197824352498,0
0.89981850666087,0.0088146722833089,0.986356042980334,5.35353535353535,-2.05E-17,0.521611198783175,0
0.840535780283815,0.00790924147890504,1.05651396274393,5.45454545454545,-1.50E-17,0.502692075790082,0
0.784818539945981,0.00709676012940319,1.12667188250752,5.55555555555556,9.72E-17,0.48443252342037,0
0.73250321680787,0.00636769700956763,1.19682980227111,5.65656565656566,1.42E-16,0.46682815358035,0
0.676052795092994,0.00571349614705419,1.27791573223026,5.75757575757576,-2.25E-16,0.447226908010614,1.26E-17
0.623674987448149,0.00512647744247574,1.35900166218942,5.85858585858586,-3.21E-16,0.428472121516626,2.63E-17
0.575131254508187,0.00459974733628221,1.44008759214857,5.95959595959596,1.72E-16,0.41059496703198,2.34E-17
0.530163940852417,0.00412711852251646,1.52117352210772,6.06060606060606,4.55E-16,0.393444395091392,1.08E-17
0.488524204143642,0.00370303780590975,1.60225945206688,6.16161616161616,-1.34E-17,0.376864453413347,-3.54E-18
0.450018234713957,0.00332252128652599,1.68334538202603,6.26262626262626,-2.22E-16,0.361034539580928,3.49E-18
0.414442777909661,0.00298109613587716,1.76443131198518,6.36363636363636,1.18E-17,0.345997225890788,3.74E-17
0.381576164149989,0.00267474830076386,1.84551724194433,6.46464646464646,1.96E-16,0.331564769658507,4.54E-17
0.348136502023294,0.00239987553664234,1.93517446545526,6.56565656565657,-1.88E-16,0.316077727341459,-2.01E-17
0.317550164223649,0.00215324523163463,2.02483168896618,6.66666666666667,-3.09E-16,0.301404927410807,-4.82E-17
0.289603697030249,0.00193195653596479,2.1144889124771,6.76767676767677,9.39E-17,0.287641684407476,-5.59E-18
0.264053825837365,0.00173340636006358,2.20414613598802,6.86868686868687,3.37E-16,0.274459831627998,1.09E-17
0.241642287466967,0.00155525884835739,2.28994202271938,6.96969696969697,-7.27E-16,0.262109263274724,5.20E-17
0.221104695392204,0.00139541797524201,2.37573790945074,7.07070707070707,-1.19E-15,0.250423582000675,8.81E-17
0.202302964333673,0.00125200294533823,2.4615337961821,7.17171717171717,-3.74E-17,0.239502589690469,5.72E-20
0.185071003063209,0.0011233261122261,2.54732968291346,7.27272727272727,8.26E-16,0.229014920707454,-8.12E-17
0.170605919589542,0.00100787315874529,2.62553547671845,7.37373737373737,-6.88E-17,0.219611200935324,-5.10E-17
0.157261495393938,0.000904285307981478,2.70374127052345,7.47474747474748,-4.47E-16,0.210667594067564,-2.11E-17
0.144958489796834,0.000811343357482119,2.78194706432845,7.57575757575758,1.59E-16,0.202229495855268,-4.39E-18
0.133605967842562,0.000727953350317501,2.86015285813344,7.67676767676768,6.03E-16,0.194112936751262,-1.18E-17
0.123287698662585,0.000653133715566412,2.93708152718336,7.77777777777778,1.27E-16,0.186311344560517,-4.18E-17
0.113761116135746,0.00058600372785067,3.01401019623328,7.87878787878788,-1.04E-16,0.178862994883846,-4.98E-17
0.1049689039638,0.0005257731508721,3.0909388652832,7.97979797979798,4.97E-17,0.171786319835019,-2.34E-17
0.0968502471711317,0.000471732943679637,3.16786753433312,8.08080808080808,1.86E-16,0.164981856806278,-8.33E-18
0.0887452234567794,0.000423246920781439,3.25127448728324,8.18181818181818,-5.30E-17,0.15782182295357,-2.99E-17
0.0813154208497022,0.000379744268334203,3.33468144023335,8.28282828282828,-1.32E-16,0.151001759466602,-4.33E-17
0.0745071816799094,0.000340712828643452,3.41808839318347,8.38383838383838,7.67E-17,0.144538380850807,-4.21E-17
0.0682652894182942,0.000305693074179825,3.50149534613359,8.48484848484848,2.01E-16,0.138341858273598,-2.62E-17
0.0620829607970499,0.000274272700387268,3.59187295674738,8.58585858585859,1.09E-15,0.131834770343181,-7.29E-17
0.0564594807241705,0.000246081773795037,3.68225056736117,8.68686868686869,1.36E-15,0.125668919287462,-9.46E-17
0.0513469790062553,0.000220788378447079,3.77262817797496,8.78787878787879,-2.95E-16,0.119873111266312,-7.17E-18
0.0466950635295154,0.000198094709509711,3.86300578858875,8.88888888888889,-1.27E-15,0.114328212306826,5.51E-17
0.0424969336731602,0.00017773356815054,3.95252004023792,8.98989898989899,1.12E-15,0.108974119925358,5.90E-17
0.0386766817868234,0.00015946521649246,4.04203429188709,9.09090909090909,1.95E-15,0.103914411646556,5.75E-17
